service,distance,experience,hour,is_peak_hour,rain_ratio,completion_time
Sửa chữa và bảo dưỡng máy giặt,3,25.502134626865157,22,0,0.0,131
Sửa chữa và bảo dưỡng nồi cơm điện,10,1.6078705859604399,1,0,1.0,81
Sửa chữa và bảo dưỡng điện thoại,17,26.08191051590559,13,0,1.0,78
Sửa chữa và bảo dưỡng quạt điện,4,22.917513129631537,17,1,1.0,46
Sửa chữa và bảo dưỡng ô tô,3,2.2726523852468707,15,1,0.0,185
Sửa chữa và bảo dưỡng ô tô,12,5.0054299203748664,3,0,0.0,184
Sửa chữa và bảo dưỡng máy lạnh,17,5.588675622296687,12,0,0.0,182
Sửa chữa và bảo dưỡng lò vi sóng,4,4.4928637335401715,5,0,0.0,71
Sửa chữa và bảo dưỡng tủ lạnh,21,2.499432532159706,4,0,0.5,147
Sửa chữa và bảo dưỡng xe máy,4,7.504208663924188,12,0,0.5,78
Sửa chữa và bảo dưỡng máy lạnh,22,7.669416849026308,15,1,0.5,191
Sửa chữa và bảo dưỡng điện dân dụng,9,27.226435244100568,7,1,1.0,102
Sửa chữa và bảo dưỡng máy giặt,30,1.9157673698746518,11,0,0.0,177
Sửa chữa và bảo dưỡng điện thoại,4,1.6442606041819485,16,1,0.5,74
Sửa chữa và bảo dưỡng điện dân dụng,19,4.259583566668807,11,0,0.5,125
Sửa chữa và bảo dưỡng hệ thống nước,14,1.2338703289439454,16,1,0.5,158
Sửa chữa và bảo dưỡng hệ thống nước,46,0.40682334822401434,14,1,1.0,223
Sửa chữa và bảo dưỡng lò vi sóng,14,4.695224795126018,15,1,0.5,109
Sửa chữa và bảo dưỡng điện dân dụng,22,2.4761160276780148,10,0,1.0,138
Sửa chữa và bảo dưỡng nồi cơm điện,26,4.329968541059556,13,0,0.5,100
Sửa chữa và bảo dưỡng máy lạnh,9,7.901289807435605,20,0,0.5,137
Sửa chữa và bảo dưỡng xe máy,19,24.058195457632166,13,0,0.0,61
Sửa chữa và bảo dưỡng lò vi sóng,50,6.8534069348475715,0,0,0.0,158
Sửa chữa và bảo dưỡng TV,5,26.650772483994157,7,1,0.0,82
Sửa chữa và bảo dưỡng quạt điện,15,0.8212277132624853,0,0,0.0,80
Sửa chữa và bảo dưỡng tủ lạnh,19,1.8624075653194583,20,0,1.0,164
Sửa chữa và bảo dưỡng ô tô,9,15.77605752420366,17,1,0.5,220
Sửa chữa và bảo dưỡng điện dân dụng,17,4.41991861659907,14,1,0.0,124
Sửa chữa và bảo dưỡng điện thoại,4,0.20358143573199705,11,0,1.0,81
Sửa chữa và bảo dưỡng điện dân dụng,35,29.51482106957609,1,0,0.0,138
Sửa chữa và bảo dưỡng laptop,11,2.408499132750622,5,0,1.0,120
Sửa chữa và bảo dưỡng xe máy,4,1.5205891215571157,9,1,1.0,119
Sửa chữa và bảo dưỡng máy lạnh,15,6.5124255581373465,15,1,1.0,198
Sửa chữa và bảo dưỡng tủ lạnh,29,7.47959663253311,8,1,0.0,172
Sửa chữa và bảo dưỡng máy giặt,4,3.1742782866097254,12,0,1.0,128
Sửa chữa và bảo dưỡng điện thoại,12,2.0679306142681293,4,0,1.0,97
Sửa chữa và bảo dưỡng điện dân dụng,36,9.107785833629535,7,1,1.0,161
Sửa chữa và bảo dưỡng máy tính,29,23.325373897882116,0,0,0.5,110
Sửa chữa và bảo dưỡng điện dân dụng,10,2.2497007879866064,3,0,1.0,132
Sửa chữa và bảo dưỡng máy lạnh,15,1.449082245571622,2,0,0.5,197
Sửa chữa và bảo dưỡng nồi cơm điện,20,22.075758463566686,7,1,0.0,71
Sửa chữa và bảo dưỡng ô tô,3,6.259678306592793,16,1,0.0,186
Sửa chữa và bảo dưỡng tủ lạnh,25,11.825049256322593,17,1,1.0,166
Sửa chữa và bảo dưỡng tủ lạnh,2,7.817724491448584,12,0,0.5,102
Sửa chữa và bảo dưỡng lò vi sóng,22,0.3511693768937598,4,0,0.0,127
Sửa chữa và bảo dưỡng máy in,9,2.103556696325705,17,1,0.5,97
Sửa chữa và bảo dưỡng điện thoại,9,6.4450730918097685,4,0,0.0,71
Sửa chữa và bảo dưỡng máy lạnh,18,5.551982776031172,14,1,0.0,146
Sửa chữa và bảo dưỡng quạt điện,12,7.738494430079437,14,1,0.0,61
Sửa chữa và bảo dưỡng máy tính,40,5.801428109830528,10,0,0.0,137
Sửa chữa và bảo dưỡng điện thoại,20,3.71626378722014,6,0,0.0,83
Sửa chữa và bảo dưỡng quạt điện,10,5.551016364936986,17,1,0.5,62
Sửa chữa và bảo dưỡng điện dân dụng,9,11.250106118542739,14,1,1.0,112
Sửa chữa và bảo dưỡng điện dân dụng,16,6.580424899536046,2,0,0.5,105
Sửa chữa và bảo dưỡng lò vi sóng,5,5.988335763545179,22,0,0.0,76
Sửa chữa và bảo dưỡng điện dân dụng,37,3.5136401007224567,9,1,1.0,182
Sửa chữa và bảo dưỡng laptop,7,21.204889312015812,11,0,0.5,93
Sửa chữa và bảo dưỡng ô tô,7,0.8119440396540624,2,0,0.0,207
Sửa chữa và bảo dưỡng điện dân dụng,27,4.68673224713569,13,0,1.0,154
Sửa chữa và bảo dưỡng tủ lạnh,2,20.73108988871464,8,1,0.5,104
Sửa chữa và bảo dưỡng xe máy,46,20.95250526890668,9,1,0.5,167
Sửa chữa và bảo dưỡng TV,2,15.095507457077478,18,1,0.5,87
Sửa chữa và bảo dưỡng TV,49,1.375675446871956,10,0,0.0,201
Sửa chữa và bảo dưỡng máy giặt,4,16.65812090338074,17,1,1.0,113
Sửa chữa và bảo dưỡng điện thoại,47,3.2952175060090125,0,0,1.0,165
Sửa chữa và bảo dưỡng điện dân dụng,19,5.787190158084163,8,1,1.0,136
Sửa chữa và bảo dưỡng máy lạnh,31,26.83126463982819,20,0,0.5,187
Sửa chữa và bảo dưỡng hệ thống nước,37,22.593630291730683,0,0,0.5,176
Sửa chữa và bảo dưỡng laptop,3,7.63704878361286,3,0,0.0,78
Sửa chữa và bảo dưỡng hệ thống nước,18,0.7411933223689335,18,1,0.5,161
Sửa chữa và bảo dưỡng máy in,2,7.940793036248924,23,0,0.0,64
Sửa chữa và bảo dưỡng nồi cơm điện,49,6.628277789934867,10,0,0.0,141
Sửa chữa và bảo dưỡng TV,22,4.105292401871395,0,0,1.0,141
Sửa chữa và bảo dưỡng máy tính,1,1.5112950097123234,9,1,0.5,97
Sửa chữa và bảo dưỡng xe máy,21,3.978799521167101,1,0,0.0,111
Sửa chữa và bảo dưỡng laptop,9,25.882584276322945,6,0,0.0,84
Sửa chữa và bảo dưỡng TV,43,15.483909477240848,22,0,0.0,158
Sửa chữa và bảo dưỡng lò vi sóng,13,2.181094142603829,0,0,1.0,115
Sửa chữa và bảo dưỡng điện dân dụng,13,1.3186745676474625,4,0,0.5,128
Sửa chữa và bảo dưỡng quạt điện,20,2.228943654445599,23,0,1.0,98
Sửa chữa và bảo dưỡng điện dân dụng,36,5.7444943967486015,23,0,1.0,167
Sửa chữa và bảo dưỡng TV,29,2.8430858456761894,18,1,0.5,165
Sửa chữa và bảo dưỡng hệ thống nước,1,16.37041509044662,12,0,1.0,85
Sửa chữa và bảo dưỡng xe máy,30,7.852464463827067,11,0,0.0,118
Sửa chữa và bảo dưỡng nồi cơm điện,43,0.7220559606320797,21,0,0.0,139
Sửa chữa và bảo dưỡng máy lạnh,3,20.374810428585754,19,1,0.5,139
Sửa chữa và bảo dưỡng máy lạnh,28,28.52398633853707,18,1,1.0,207
Sửa chữa và bảo dưỡng TV,31,22.880086879603596,12,0,0.5,150
Sửa chữa và bảo dưỡng TV,29,2.8344325633984164,17,1,0.5,168
Sửa chữa và bảo dưỡng quạt điện,41,15.365094904561781,18,1,0.0,110
Sửa chữa và bảo dưỡng laptop,8,1.5500561728647955,8,1,0.0,118
Sửa chữa và bảo dưỡng máy in,46,19.17441452016829,13,0,0.5,141
Sửa chữa và bảo dưỡng lò vi sóng,15,0.3362556477195263,7,1,1.0,142
Sửa chữa và bảo dưỡng ô tô,22,14.339548348338486,9,1,0.0,211
Sửa chữa và bảo dưỡng TV,7,7.581634867551475,18,1,1.0,131
Sửa chữa và bảo dưỡng lò vi sóng,27,9.729708906958425,1,0,0.0,102
Sửa chữa và bảo dưỡng máy tính,2,7.140025993315653,0,0,0.0,51
Sửa chữa và bảo dưỡng máy in,24,0.36234803892005596,7,1,1.0,151
Sửa chữa và bảo dưỡng điện thoại,24,23.79980672160258,10,0,1.0,88
Sửa chữa và bảo dưỡng tủ lạnh,9,7.901171967043909,12,0,0.5,112
