service,distance,experience,is_peak_hour,rain_ratio,completion_time
Sửa chữa và bảo dưỡng laptop,13,1.5870754719282818,1,0.0,127
Sửa chữa và bảo dưỡng máy giặt,21,2.4405391371745075,1,1.0,188
Sửa chữa và bảo dưỡng tủ lạnh,32,7.209053098110829,0,1.0,196
Sửa chữa và bảo dưỡng laptop,7,0.2562570664545759,0,1.0,125
Sửa chữa và bảo dưỡng ô tô,3,6.827738248139849,1,0.5,222
Sửa chữa và bảo dưỡng laptop,38,2.541774934932561,0,0.0,161
Sửa chữa và bảo dưỡng điện dân dụng,5,15.223255016210722,0,0.0,67
Sửa chữa và bảo dưỡng nồi cơm điện,4,10.220430884967326,0,0.5,34
Sửa chữa và bảo dưỡng xe máy,36,0.6726664196682539,0,0.5,161
Sửa chữa và bảo dưỡng máy in,12,28.28607118423156,1,1.0,78
Sửa chữa và bảo dưỡng hệ thống nước,5,21.001355861476803,1,1.0,115
Sửa chữa và bảo dưỡng TV,14,5.693411786159318,0,1.0,128
Sửa chữa và bảo dưỡng tủ lạnh,12,6.179472255096657,0,1.0,122
Sửa chữa và bảo dưỡng điện dân dụng,7,26.399900724099812,1,0.0,87
Sửa chữa và bảo dưỡng xe máy,11,2.391898974545981,1,0.0,102
Sửa chữa và bảo dưỡng máy tính,27,1.849731537001132,1,0.0,134
Sửa chữa và bảo dưỡng điện thoại,5,20.05074837742021,0,0.0,43
Sửa chữa và bảo dưỡng hệ thống nước,1,2.8936087746546724,0,1.0,115
Sửa chữa và bảo dưỡng nồi cơm điện,22,9.436392577739383,0,0.0,66
Sửa chữa và bảo dưỡng tủ lạnh,4,11.59571154415384,0,0.5,80
Sửa chữa và bảo dưỡng tủ lạnh,1,1.4470352923910257,0,1.0,122
Sửa chữa và bảo dưỡng nồi cơm điện,27,5.6548776745329405,0,0.0,95
Sửa chữa và bảo dưỡng TV,5,1.0981413756395346,0,0.0,104
Sửa chữa và bảo dưỡng xe máy,29,3.3257316702438637,0,0.5,120
Sửa chữa và bảo dưỡng điện thoại,21,3.664824553232317,1,0.0,98
Sửa chữa và bảo dưỡng máy giặt,13,0.7251228817320569,0,0.5,171
Sửa chữa và bảo dưỡng nồi cơm điện,12,0.904347076818932,1,0.0,88
Sửa chữa và bảo dưỡng quạt điện,32,1.9319886979184573,0,0.5,109
Sửa chữa và bảo dưỡng ô tô,1,2.726859316681809,0,0.0,164
Sửa chữa và bảo dưỡng điện dân dụng,22,16.777925777278544,0,1.0,127
Sửa chữa và bảo dưỡng máy giặt,43,27.647166198280928,0,1.0,195
Sửa chữa và bảo dưỡng điện thoại,41,7.371796424659663,0,0.5,145
Sửa chữa và bảo dưỡng nồi cơm điện,2,22.97293549373014,0,0.0,26
Sửa chữa và bảo dưỡng quạt điện,5,2.6652057445133384,0,0.5,54
Sửa chữa và bảo dưỡng tủ lạnh,26,11.444833746397862,0,0.5,150
Sửa chữa và bảo dưỡng TV,22,5.6892472075208405,1,0.5,133
Sửa chữa và bảo dưỡng máy tính,8,28.635628384506777,0,0.5,66
Sửa chữa và bảo dưỡng máy giặt,16,4.292406778610195,0,1.0,140
Sửa chữa và bảo dưỡng máy lạnh,3,7.999042405868824,0,0.0,139
Sửa chữa và bảo dưỡng quạt điện,20,25.133684819465092,0,1.0,75
Sửa chữa và bảo dưỡng lò vi sóng,33,14.877196597780522,0,0.0,117
Sửa chữa và bảo dưỡng nồi cơm điện,10,4.906737410900972,1,0.5,73
Sửa chữa và bảo dưỡng quạt điện,27,10.691722740926448,0,1.0,79
